xc(um),yc(um),zc(um),radius(um),matid
3.7699999999999996,0.29,0,0.10439999999999999,138
4.35,0.29,0,0.10439999999999999,139
4.93,0.29,0,0.10439999999999999,140
5.51,0.29,0,0.10439999999999999,141
6.09,0.29,0,0.10439999999999999,142
6.67,0.29,0,0.10439999999999999,143
7.25,0.29,0,0.10439999999999999,144
7.83,0.29,0,0.10439999999999999,145
8.41,0.29,0,0.10439999999999999,146
2.61,0.8699999999999999,0,0.10439999999999999,147
3.19,0.8699999999999999,0,0.10439999999999999,148
3.7699999999999996,0.8699999999999999,0,0.10439999999999999,149
4.35,0.8699999999999999,0,0.10439999999999999,150
4.93,0.8699999999999999,0,0.10439999999999999,151
5.51,0.8699999999999999,0,0.10439999999999999,152
6.09,0.8699999999999999,0,0.10439999999999999,153
6.67,0.8699999999999999,0,0.10439999999999999,154
7.25,0.8699999999999999,0,0.10439999999999999,155
7.83,0.8699999999999999,0,0.10439999999999999,156
8.41,0.8699999999999999,0,0.10439999999999999,157
2.61,1.45,0,0.10439999999999999,158
3.19,1.45,0,0.10439999999999999,159
3.7699999999999996,1.45,0,0.10439999999999999,160
4.35,1.45,0,0.10439999999999999,161
4.93,1.45,0,0.10439999999999999,162
5.51,1.45,0,0.10439999999999999,163
6.09,1.45,0,0.10439999999999999,164
6.67,1.45,0,0.10439999999999999,165
7.25,1.45,0,0.10439999999999999,166
7.83,1.45,0,0.10439999999999999,167
8.41,1.45,0,0.10439999999999999,168
2.61,2.03,0,0.10439999999999999,169
3.19,2.03,0,0.10439999999999999,170
3.7699999999999996,2.03,0,0.10439999999999999,171
4.35,2.03,0,0.10439999999999999,172
4.93,2.03,0,0.10439999999999999,173
5.51,2.03,0,0.10439999999999999,174
6.09,2.03,0,0.10439999999999999,175
6.67,2.03,0,0.10439999999999999,176
7.25,2.03,0,0.10439999999999999,177
7.83,2.03,0,0.10439999999999999,178
8.41,2.03,0,0.10439999999999999,179
2.61,2.61,0,0.10439999999999999,180
3.19,2.61,0,0.10439999999999999,181
3.7699999999999996,2.61,0,0.10439999999999999,182
4.35,2.61,0,0.10439999999999999,183
4.93,2.61,0,0.10439999999999999,184
5.51,2.61,0,0.10439999999999999,185
6.09,2.61,0,0.10439999999999999,186
6.67,2.61,0,0.10439999999999999,187
7.25,2.61,0,0.10439999999999999,188
7.83,2.61,0,0.10439999999999999,189
8.41,2.61,0,0.10439999999999999,190
5.51,3.19,0,0.10439999999999999,191
6.09,3.19,0,0.10439999999999999,192
6.67,3.19,0,0.10439999999999999,193
7.25,3.19,0,0.10439999999999999,194
7.83,3.19,0,0.10439999999999999,195
8.41,3.19,0,0.10439999999999999,196
2.61,3.7699999999999996,0,0.10439999999999999,197
3.19,3.7699999999999996,0,0.10439999999999999,198
